WORD	WORD COUNT		LEMMA	LEMMA COUNT
Prophet	29		once	27
pain	29		extend	27
stand	28		arm	27
worthy	28		15	27
prepare	28		strong	27
forth	28		themselves	27
daily	28		within	27
trials	28		stake	27
enough	28		possible	27
responsibility	28		really	27
16	28		authority	27
grow	28		peter	27
miracles	28		past	26
beautiful	28		four	26
around	28		history	26
everything	28		ministry	26
spirit	28		20	26
Those	28		alone	26
ministering	28		month	26
took	28		save	26
knew	27		alma	26
study	27		17	26
morning	27		rise	26
shared	27		since	26
though	27		Sunday	26
11	27		sometimes	26
13	27		point	26
testimony	27		including	26
open	27		express	26
Now	27		presidency	26
15	27		hath	26
themselves	27		direct	25
May	27		step	25
Sister	27		Israel	25
within	27		center	25
possible	27		draw	25
really	27		action	25
please	27		yourself	25
Peter	27		adult	25
body	27		reason	25
declared	27		large	25
kingdom	27		clear	25
Constitution	27		perform	25
past	26		seal	25
pure	26		unfairness	25
filled	26		mountain	25
different	26		lie	24
ministry	26		age	24
once	26		reach	24
20	26		forget	24
build	26		future	24
changed	26		gratitude	24
set	26		view	24
alone	26		glorious	24
influence	26		side	24
lead	26		next	24
allow	26		fall	24
friend	26		teacher	24
Alma	26		angel	24
17	26		event	24
someone	26		week	24
Sunday	26		night	24
saying	26		road	24
less	26		grace	24
m	26		righteousness	24
choices	26		decision	24
continued	26		die	24
including	26		support	24
hath	26		dead	24
sure	25		gathering	23
Temple	25		left	23
old	25		teaching	23
Israel	25		deep	23
history	25		knowledge	23
truths	25		honor	23
heavenly	25		simply	23
comfort	25		between	23
coming	25		generation	23
strengthen	25		truly	23
Brothers	25		expect	23
gives	25		sense	23
yourself	25		difference	23
So	25		relationship	23
having	25		righteous	23
calling	25		oppose	23
second	25		neither	23
pass	25		human	23
unfairness	25		mercy	23
Do	25		add	23
offer	24		respond	23
worship	24		baptize	23
four	24		throughout	22
future	24		servant	22
gratitude	24		hour	22
glorious	24		yes	22
accept	24		precious	22
temples	24		land	22
stay	24		near	22
broken	24		matt	22
Their	24		essential	22
exercise	24		describe	22
explained	24		husband	22
feelings	24		wonderful	22
thing	24		presence	22
looked	24		contention	22
promises	24		available	22
needs	24		wind	22
clear	24		observe	22
continue	24		state	22
water	24		nothing	22
sustain	24		forgiveness	22
righteousness	24		grateful	22
dead	24		concern	22
gather	23		perhaps	22
During	23		judge	22
leaders	23		beginning	22
left	23		record	21
age	23		listen	21
Restoration	23		war	21
knowledge	23		burden	21
tell	23		appear	21
high	23		exaltation	21
next	23		off	21
simply	23		remain	21
Many	23		fully	21
months	23		approach	21
truly	23		primary	21
grace	23		powerful	21
righteous	23		born	21
General	23		yea	21
Presidency	23		eternity	21
human	23		nation	21
works	23		key	21
welcome	22		twelve	21
show	22		thousand	21
Behold	22		physical	21
homes	22		sorrow	21
gathering	22		fast	21
fear	22		despite	21
teachings	22		happy	21
guide	22		process	21
precious	22		under	20
matter	22		personally	20
rather	22		assure	20
between	22		Christ.	20
knowing	22		potential	20
wonderful	22		infinite	20
presence	22		line	20
invited	22		18	20
daughter	22		kindness	20
available	22		boy	20
making	22		helping	20
brought	22		ability	20
individuals	22		agency	20
grateful	22		press	20
mercy	22		recently	20
created	22		beyond	20
healed	22		whole	20
sent	22		David	20
baptized	22		almost	20
exaltation	21		across	20
off	21		affliction	20
leave	21		inspiration	20
fully	21		atone	20
visit	21		ponder	19
teaches	21		full	19
recognize	21		fulfill	19
powerful	21		school	19
happened	21		close	19
begin	21		dark	19
greatest	21		effect	19
essential	21		else	19
commandment	21		food	19
looking	21		conclude	19
himself	21		neighbour	19
husband	21		already	19
Your	21		poor	19
takes	21		unite	19
contention	21		capacity	19
try	21		imagine	19
endure	21		seventy	19
known	21		Moroni	19
since	21		cross	19
personally	20		test	19
Christ.	20		whether	19
potential	20		Mary	19
infinite	20		rejoice	18
opportunities	20		assist	18
greater	20		king	18
18	20		apply	18
kindness	20		above	18
draw	20		sit	18
born	20		therefore	18
cause	20		group	18
lesson	20		foot	18
strong	20		real	18
recently	20		myself	18
says	20		sabbath	18
whole	20		reply	18
David	20		decide	18
led	20		anything	18
Yet	20		room	18
lost	20		door	18
night	20		veil	18
large	20		present	18
road	20		favor	18
inspiration	20		H.	18
sister	20		author	18
going	20		couple	18
turn	20		mighty	18
physical	20		natural	18
sons	20		ready	17
law	20		everyone	17
process	20		travel	17
Just	20		fact	17
prepared	19		humble	17
lived	19		head	17
giving	19		testament	17
actions	19		importance	17
ability	19		refer	17
souls	19		hard	17
realized	19		along	17
Come	19		situation	17
beyond	19		immediately	17
else	19		several	17
food	19		accomplish	17
seem	19		rest	17
already	19		whatever	17
places	19		worldwide	17
poor	19		resurrect	17
across	19		whose	17
forgiveness	19		determine	17
atoning	19		redeem	17
met	19		birth	17
Moroni	19		building	17
neither	19		rock	17
hold	19		counselor	16
seeking	19		indeed	16
Apostle	19		tree	16
Young	19		privilege	16
support	19		cleanse	16
wrote	19		run	16
forgive	19		wish	16
Mary	19		branch	16
throughout	18		humility	16
becoming	18		reality	16
line	18		far	16
full	18		Satan	16
hands	18		God.	16
above	18		conversation	16
result	18		baptism	16
suffered	18		spiritually	16
leader	18		preach	16
real	18		follower	16
dark	18		demonstrate	16
eternity	18		tear	16
Himself	18		companion	16
Sabbath	18		participate	16
Through	18		drive	16
sometimes	18		21	16
sense	18		carry	16
New	18		plead	16
Even	18		bible	16
almost	18		Utah	16
wanted	18		relief	16
anything	18		marry	16
overcome	18		country	16
trying	18		me.	16
third	18		perspective	16
meeting	18		dad	16
capacity	18		blind	16
veil	18		government	16
H.	18		growth	16
Twelve	18		fail	16
thousands	18		establish	16
taken	18		hurricane	16
ones	18		mine	15
authority	18		taking	15
prayed	18		thus	15
asking	18		fulness	15
beginning	18		bright	15
built	18		weakness	15
doubt	17		him.	15
written	17		B.	15
under	17		occur	15
ready	17		talk	15
servants	17		belief	15
served	17		entire	15
fact	17		19	15
changes	17		organization	15
walking	17		although	15
Why	17		especially	15
importance	17		account	15
desires	17		inn	15
near	17		storm	15
Of	17		COVID-19	15
along	17		smile	15
helping	17		enable	15
school	17		oak	15
close	17		C.	15
immediately	17		against	15
agency	17		verse	15
press	17		emotional	15
myself	17		humanitarian	15
land	17		easy	15
wonder	17		guidance	15
adults	17		spend	15
passed	17		goal	15
room	17		surgery	15
longer	17		progress	14
whose	17		command	14
Each	17		discipleship	14
Area	17		joyful	14
Quorum	17		respect	14
cross	17		cry	14
relationships	17		didn	14
birth	17		temptation	14
consider	17		conversion	14
meet	17		vital	14
natural	17		D.	14
rejoice	16		reflect	14
mean	16		free	14
revealed	16		enjoy	14
approach	16		class	14
far	16		master	14
Satan	16		vision	14
God.	16		convert	14
spiritually	16		interest	14
teacher	16		health	14
reason	16		percent	14
difference	16		six	14
observed	16		neighbor	14
keeping	16		liberty	14
21	16		stretch	14
However	16		short	14
point	16		city	14
Bible	16		note	14
door	16		single	14
Utah	16		meeting	14
suffer	16		fourth	14
resurrected	16		obedience	14
stake	16		qualify	14
favor	16		propose	14
prayers	16		E.	14
scripture	16		G.	14
decisions	16		elder	14
forget	16		prince	14
me.	16		sing	14
test	16		issue	14
deep	16		wherefore	14
government	16		unique	14
happy	16		standard	14
meaning	16		mental	14
mine	15		associate	14
start	15		source	14
fulness	15		recent	13
him.	15		practice	13
enter	15		commit	13
lift	15		spoke	13
honor	15		anyone	13
Only	15		surprise	13
reality	15		evil	13
Primary	15		identity	13
learning	15		wisdom	13
boy	15		conflict	13
B.	15		wrong	13
group	15		clearly	13
entire	15		ancient	13
19	15		base	13
speaking	15		sincere	13
Today	15		significant	13
replied	15		rabbit	13
followed	15		medical	13
tears	15		treat	13
Please	15		Christian	13
especially	15		social	13
afflictions	15		role	13
brings	15		wound	13
COVID-19	15		five	13
worldwide	15		society	13
seen	15		sign	13
president	15		J.	13
Oaks	15		loss	13
opposed	15		address	13
C.	15		patience	13
against	15		magnify	13
perhaps	15		ensign	13
sealed	15		Liahona	13
neighbor	15		commitment	13
perspective	15		develop	13
started	15		hymn	13
laws	15		marriage	13
growth	15		humbly	13
quorum	15		touch	13
whether	15		obtain	13
building	15		obey	13
author	15		article	13
taking	14		impossible	13
Coming	14		sequential	13
hours	14		global	12
offers	14		amaze	12
remain	14		lake	12
side	14		charge	12
humility	14		encourage	12
discipleship	14		political	12
joyful	14		gain	12
fall	14		completely	12
didn	14		behind	12
early	14		refine	12
vital	14		23	12
D.	14		profound	12
several	14		search	12
missionary	14		soon	12
Gospel	14		arrive	12
wind	14		bad	12
inviting	14		suggest	12
events	14		F.	12
health	14		expectation	12
percent	14		final	12
hard	14		seed	12
neighbors	14		finally	12
moved	14		affect	12
single	14		response	12
Inn	14		you.	12
standing	14		Samaritan	12
instead	14		language	12
walked	14		assurance	12
feet	14		judgment	12
proposed	14		embrace	12
E.	14		complete	12
G.	14		list	12
week	14		Dallin	12
Prince	14		lamb	12
struggle	14		relate	12
emotional	14		numb	12
